Station,Base_MSE,Adapted_MSE,Adapted_MAE,Adapted_RMSE,R2
85271.xlsx,0.038483504205942154,0.03256020322442055,0.14321446418762207,0.18044446022092378,0.23307013511657715
80458.xlsx,0.04666091874241829,0.04205567017197609,0.1739812046289444,0.2050747916541087,0.23365116119384766
26323 (1).xlsx,0.13680583238601685,0.04576008394360542,0.20846912264823914,0.21391606752089806,-14.738007545471191
43823 (1).xlsx,0.08165985345840454,0.01650991663336754,0.07494614273309708,0.12849092043163027,0.003711521625518799
43976.xlsx,0.04477161541581154,0.038454536348581314,0.16486264765262604,0.19609828237029847,0.31962913274765015
42945.xlsx,0.05960146710276604,0.027165191248059273,0.1437186896800995,0.16481866171055773,0.3159843683242798
80543.xlsx,0.057215191423892975,0.045343030244112015,0.17928481101989746,0.2129390294053958,0.2516574263572693
86229.xlsx,0.09142564982175827,0.07458045333623886,0.2391606569290161,0.2730942206203545,0.26811403036117554
42148.xlsx,0.03626334294676781,0.032367438077926636,0.1394401341676712,0.17990952747958247,0.19387292861938477
72122.xlsx,0.03781590983271599,0.03453875705599785,0.1499401479959488,0.18584605741311233,0.22415542602539062
80459.xlsx,0.03552154451608658,0.031243762001395226,0.14933709800243378,0.1767590506915989,0.2934275269508362
85295.xlsx,0.06559836864471436,0.018657520413398743,0.10223798453807831,0.13659253425205473,0.045909106731414795
80134.xlsx,0.048745591193437576,0.043044544756412506,0.17244896292686462,0.20747179267652868,0.21772456169128418
87587.xlsx,0.028452089056372643,0.02460305020213127,0.13047067821025848,0.15685359480143027,0.3583521842956543
37402.xlsx,0.052082426846027374,0.039300985634326935,0.16245713829994202,0.1982447619341478,0.40970540046691895
88842.xlsx,0.07697447389364243,0.051506489515304565,0.19972197711467743,0.22695041201836264,0.30460280179977417
87581.xlsx,0.03671031445264816,0.025545183569192886,0.13197730481624603,0.159828606854946,0.3095364570617676
43989.xlsx,0.08215081691741943,0.06629020720720291,0.2245238721370697,0.2574688470615482,0.3523121476173401
40574.xlsx,0.03294749557971954,0.027783511206507683,0.13801777362823486,0.16668386606539842,0.20578497648239136
43821.xlsx,0.03550523892045021,0.027403991669416428,0.13539840281009674,0.16554151041178894,0.056262075901031494
42149.xlsx,0.04962918534874916,0.039785511791706085,0.1717822253704071,0.19946305871440478,0.36357152462005615
38764.xlsx,0.03176340460777283,0.017132319509983063,0.09746534377336502,0.13089048670542508,0.09180808067321777
26323.xlsx,0.13680583238601685,0.04576008394360542,0.20846912264823914,0.21391606752089806,-14.738007545471191
40575.xlsx,0.04707663133740425,0.026468446478247643,0.13770614564418793,0.16269126122274558,0.27758175134658813
72022.xlsx,0.08836040645837784,0.07357443124055862,0.24676644802093506,0.2712460713827181,0.3095781207084656
43823.xlsx,0.08165985345840454,0.01650991663336754,0.07494614273309708,0.12849092043163027,0.003711521625518799
26898.xlsx,0.049270935356616974,0.039508718997240067,0.16366055607795715,0.19876800295128003,0.23504269123077393
87588.xlsx,0.048058636486530304,0.03675711154937744,0.16634267568588257,0.1917214425915303,0.3437896966934204
43382.xlsx,0.03523408621549606,0.029900118708610535,0.13790300488471985,0.17291650791237526,0.31444501876831055
87579.xlsx,0.03598582744598389,0.015847135335206985,0.0932593047618866,0.1258854055687433,-0.4658339023590088
42760.xlsx,0.04356808587908745,0.038188010454177856,0.16178958117961884,0.19541752852335909,0.2689087390899658
36284.xlsx,0.04907650873064995,0.040640320628881454,0.17267391085624695,0.20159444592766304,0.2351667284965515
